Ngram,Frequency
"('development', 'note')",7
"('of', 'commerce')",7
"('extension', 'service')",7
"('the', 'nc')",7
"('of', 'virginia')",7
"('center', 'note')",7
"('north', 'carolinas')",7
"('rhode', 'island')",7
"('with', 'the')",6
"('state', 'note')",6
"('website', 'of')",6
"('center', 'for')",6
"('housing', 'finance')",6
"('cultural', 'resources')",6
"('retirement', 'system')",6
"('fish', 'and')",6
"('state', 'library')",6
"('florida', 'department')",6
"('and', 'community')",6
"('commonwealth', 'of')",6
"('pattern', 'for')",6
"('the', 'blind')",6
"('state', 'agency')",6
"('transportation', 'note')",6
"('examiners', 'of')",6
"('islands', 'note')",6
"('mississippi', 'state')",6
"('carolina', 'office')",6
"('see', 'historical')",5
"('council', 'of')",5
"('united', 'way')",5
"('way', 'of')",5
"('emergency', 'management')",5
"('management', 'note')",5
"('alabama', 'state')",5
"('public', 'service')",5
"('arkansas', 'state')",5
"('access', 'to')",5
"('therapy', 'note')",5
"('agencies', 'note')",5
"('parks', 'note')",5
"('of', 'cultural')",5
"('museum', 'of')",5
"('independent', 'living')",5
"('nebraska', 'state')",5
"('library', 'note')",5
"('and', 'wildlife')",5
"('the', 'florida')",5
"('attorney', 'general')",5
"('general', 'note')",5
"('consumer', 'services')",5
"('board', 'for')",5
"('school', 'for')",5
"('louisiana', 'note')",5
"('state', 'fair')",5
"('fair', 'note')",5
"('carolina', 'division')",5
"('new', 'jersey')",5
"('of', 'labor')",5
"('league', 'of')",5
"('commerce', 'note')",5
"('nc', 'state')",5
"('carolina', 'state')",5
"('carolina', 'forest')",5
"('south', 'dakota')",5
"('historical', 'snapshot')",4
"('snapshot', 'at')",4
"('social', 'services')",4
"('the', 'council')",4
"('agency', 'of')",4
"('american', 'samoa')",4
"('arkansas', 'department')",4
"('licensing', 'board')",4
"('tourism', 'note')",4
"('health', 'insurance')",4
"('state', 'parks')",4
"('of', 'natural')",4
"('is', 'an')",4
"('public', 'safety')",4
"('safety', 'note')",4
"('of', 'new')",4
"('secretary', 'of')",4
"('designed', 'to')",4
"('nc', 'dept')",4
"('of', 'revenue')",4
"('site', 'of')",4
"('water', 'resources')",4
"('industry', 'note')",4
"('governors', 'office')",4
"('agriculture', 'and')",4
"('and', 'consumer')",4
"('georgia', 'state')",4
"('state', 'defense')",4
"('defense', 'force')",4
"('as', 'a')",4
"('of', 'higher')",4
"('bureau', 'of')",4
"('the', 'commonwealth')",4
"('of', 'louisiana')",4
"('a', 'state')",4
"('under', 'the')",4
"('association', 'note')",4
"('of', 'nursing')",4
"('of', 'their')",4
"('examiners', 'for')",4
"('of', 'wildlife')",4
"('library', 'of')",4
"('system', 'of')",4
"('mississippi', 'note')",4
"('for', 'north')",4
"('forest', 'service')",4
"('finance', 'agency')",4
"('state', 'employees')",4
"('living', 'council')",4
"('housing', 'development')",4
"('us', 'virgin')",4
"('virginia', 'state')",4
"('department', 'for')",4
"('vermont', 'note')",3
"('a', 'service')",3
"('of', 'social')",3
"('in', 'partnership')",3
"('partnership', 'with')",3
"('of', 'community')",3
"('council', 'the')",3
"('virginia', 'and')",3
"('state', 'department')",3
"('services', 'and')",3
"('finance', 'authority')",3
"('development', 'and')",3
"('supreme', 'court')",3
"('and', 'state')",3
"('of', 'alabama')",3
"('of', 'pharmacy')",3
"('pharmacy', 'note')",3
"('with', 'disabilities')",3
"('the', 'arkansas')",3
"('council', 'on')",3
"('workforce', 'development')",3
"('of', 'human')",3
"('medical', 'board')",3
"('physical', 'therapy')",3
"('state', 'public')",3
"('california', 'state')",3
"('assistive', 'technology')",3
"('arizona', 'state')",3
"('of', 'massage')",3
"('nc', 'museum')",3
"('the', 'national')",3
"('to', 'help')",3
"('n', 'note')",3
"('state', 'operated')",3
"('operated', 'healthcare')",3
"('healthcare', 'facilities')",3
"('facilities', 'note')",3
"('environmental', 'health')",3
"('health', 'tracking')",3
"('univ', 'of')",3
"('maryland', 'department')",3
"('and', 'economic')",3
"('nc', 'note')",3
"('this', 'site')",3
"('unclaimed', 'property')",3
"('clean', 'water')",3
"('water', 'management')",3
"('about', 'the')",3
"('maine', 'state')",3
"('revenue', 'note')",3
"('pennsylvania', 'note')",3
"('committee', 'note')",3
"('of', 'minnesota')",3
"('ok', 'state')",3
"('on', 'the')",3
"('status', 'of')",3
"('the', 'office')",3
"('the', 'attorney')",3
"('is', 'to')",3
"('to', 'protect')",3
"('florida', 'office')",3
"('of', 'financial')",3
"('financial', 'services')",3
"('of', 'insurance')",3
"('wildlife', 'conservation')",3
"('from', 'the')",3
"('the', 'official')",3
"('and', 'water')",3
"('government', 'of')",3
"('a', 'public')",3
"('part', 'of')",3
"('community', 'and')",3
"('united', 'states')",3
"('agriculture', 'note')",3
"('the', 'governor')",3
"('governor', 'and')",3
"('blind', 'note')",3
"('legislature', 'note')",3
"('mexico', 'note')",3
"('michigan', 'state')",3
"('state', 'legislature')",3
"('in', 'to')",3
"('nc', 'health')",3
"('army', 'national')",3
"('state', 'treasurer')",3
"('treasurer', 'note')",3
"('for', 'new')",3
"('and', 'technology')",3
"('youth', 'suicide')",3
"('suicide', 'prevention')",3
"('in', 'north')",3
"('through', 'the')",3
"('labor', 'and')",3
"('kansas', 'state')",3
"('branch', 'note')",3
"('of', 'kansas')",3
"('kansas', 'note')",3
"('social', 'work')",3
"('the', 'virgin')",3
"('municipalities', 'note')",3
"('section', 'of')",3
"('government', 'note')",3
"('of', 'wisconsin')",3
"('history', 'note')",3
"('state', 'lottery')",3
"('maryland', 'note')",3
"('employees', 'retirement')",3
"('commissioner', 'of')",3
"('information', 'and')",3
"('montana', 'state')",3
"('created', 'by')",3
"('workers', 'compensation')",3
"('insurance', 'note')",3
"('contractors', 'note')",3
"('maryland', 'state')",3
"('management', 'agency')",3
"('health', 'care')",3
"('court', 'system')",3
"('arts', 'council')",3
"('services', 'division')",3
"('nc', 'office')",3
"('welcome', 'to')",3
"('licensure', 'board')",3
"('marine', 'fisheries')",3
"('a', 'statewide')",3
"('school', 'of')",3
"('public', 'instruction')",3
"('by', 'a')",3
"('program', 'nc')",3
"('natural', 'heritage')",3
"('of', 'environmental')",3
"('the', 'deaf')",3
"('included', 'here')",3
"('well', 'contractors')",3
"('north', 'dakota')",3
"('nevada', 'department')",3
"('of', 'economic')",3
"('aging', 'and')",3
"('that', 'provides')",3
"('a', 'mississippi')",3
"('general', 'assembly')",3
"('of', 'michigan')",3
"('river', 'basin')",3
"('of', 'arkansas')",3
"('to', 'find')",3
"('state', 'website')",3
"('for', 'vermont')",2
"('virginia', 'is')",2
"('service', 'of')",2
"('services', 'provided')",2
"('provided', 'in')",2
"('community', 'services')",2
"('services', 'the')",2
"('the', 'family')",2
"('family', 'resource')",2
"('resource', 'and')",2
"('and', 'referral')",2
"('referral', 'center')",2
"('center', 'the')",2
"('the', 'planning')",2
"('planning', 'council')",2
"('of', 'central')",2
"('central', 'virginia')",2
"('of', 'greater')",2
"('greater', 'richmond')",2
"('richmond', 'and')",2
"('and', 'petersburg')",2
"('petersburg', 'note')",2
"('information', 'on')",2
"('of', 'idaho')",2
"('mexico', 'cooperative')",2
"('extension', 'publications')",2
"('publications', 'note')",2
"('exchange', 'note')",2
"('alabama', 'department')",2
"('research', 'and')",2
"('of', 'homeland')",2
"('homeland', 'security')",2
"('security', 'and')",2
"('and', 'emergency')",2
"('of', 'directors')",2
"('appointed', 'by')",2
"('governor', 'note')",2
"('alaska', 'railroad')",2
"('railroad', 'corporation')",2
"('alabama', 'note')",2
"('guard', 'counterdrug')",2
"('film', 'office')",2
"('information', 'center')",2
"('institute', 'note')",2
"('of', 'medical')",2
"('samoa', 'note')",2
"('of', 'washington')",2
"('agency', 'for')",2
"('for', 'persons')",2
"('persons', 'with')",2
"('state', 'and')",2
"('public', 'school')",2
"('administration', 'note')",2
"('arizona', 'note')",2
"('a', 'website')",2
"('the', 'governors')",2
"('system', 'in')",2
"('parks', 'and')",2
"('optometry', 'note')",2
"('of', 'physical')",2
"('state', 'port')",2
"('port', 'authority')",2
"('web', 'site')",2
"('california', 'note')",2
"('authority', 'the')",2
"('the', 'authority')",2
"('a', 'variety')",2
"('variety', 'of')",2
"('of', 'dental')",2
"('dental', 'examiners')",2
"('village', 'of')",2
"('ny', 'note')",2
"('natural', 'sciences')",2
"('sciences', 'note')",2
"('national', 'endowment')",2
"('endowment', 'for')",2
"('the', 'humanities')",2
"('in', 'order')",2
"('order', 'to')",2
"('the', 'number')",2
"('number', 'of')",2
"('combined', 'federal')",2
"('federal', 'campaign')",2
"('indiana', 'note')",2
"('chesapeake', 'bay')",2
"('childrens', 'health')",2
"('and', 'library')",2
"('sc', 'note')",2
"('and', 'training')",2
"('the', 'groundwater')",2
"('public', 'utilities')",2
"('utilities', 'commission')",2
"('promotion', 'and')",2
"('courts', 'note')",2
"('connecticut', 'state')",2
"('york', 'note')",2
"('management', 'trust')",2
"('the', 'digital')",2
"('digital', 'maine')",2
"('maine', 'repository')",2
"('to', 'facilitate')",2
"('maine', 'history')",2
"('culture', 'and')",2
"('ohio', 'note')",2
"('for', 'south')",2
"('is', 'the')",2
"('the', 'consumer')",2
"('of', 'pennsylvania')",2
"('the', 'division')",2
"('and', 'land')",2
"('of', 'tourism')",2
"('of', 'nc')",2
"('trust', 'note')",2
"('for', 'state')",2
"('iowa', 'state')",2
"('of', 'illinois')",2
"('oregon', 'state')",2
"('of', 'maine')",2
"('florida', 'commission')",2
"('the', 'status')",2
"('of', 'women')",2
"('created', 'in')",2
"('pennsylvania', 'fish')",2
"('and', 'boat')",2
"('judicial', 'branch')",2
"('and', 'provide')",2
"('florida', 'governors')",2
"('of', 'florida')",2
"('promote', 'a')",2
"('growth', 'of')",2
"('of', 'floridas')",2
"('programs', 'note')",2
"('florida', 'fish')",2
"('conservation', 'commission')",2
"('congressional', 'districts')",2
"('districts', 'and')",2
"('and', 'to')",2
"('changes', 'to')",2
"('environmental', 'public')",2
"('supported', 'by')",2
"('the', 'centers')",2
"('centers', 'for')",2
"('for', 'disease')",2
"('disease', 'control')",2
"('control', 'and')",2
"('and', 'prevention')",2
"('do', 'not')",2
"('links', 'to')",2
"('the', 'water')",2
"('permits', 'and')",2
"('the', 'district')",2
"('national', 'government')",2
"('of', 'law')",2
"('consumer', 'protection')",2
"('force', 'note')",2
"('force', 'public')",2
"('email', 'domain')",2
"('referenced', 'on')",2
"('and', 'student')",2
"('in', 'collaboration')",2
"('collaboration', 'with')",2
"('mississippi', 'department')",2
"('for', 'community')",2
"('and', 'national')",2
"('the', 'georgia')",2
"('civil', 'war')",2
"('got', 'to')",2
"('to', 'be')",2
"('be', 'nc')",2
"('nc', 'agriculture')",2
"('the', 'northern')",2
"('northern', 'mariana')",2
"('mariana', 'islands')",2
"('websites', 'note')",2
"('government', 'agencies')",2
"('sites', 'note')",2
"('and', 'services')",2
"('finance', 'commission')",2
"('official', 'site')",2
"('the', 'washington')",2
"('hawaii', 'state')",2
"('and', 'social')",2
"('high', 'technology')",2
"('established', 'by')",2
"('legislature', 'in')",2
"('of', 'nebraska')",2
"('college', 'savings')",2
"('services', 'administration')",2
"('innovate', 'washington')",2
"('washington', 'is')",2
"('created', 'as')",2
"('public', 'and')",2
"('as', 'the')",2
"('center', 'and')",2
"('of', 'guam')",2
"('prevention', 'task')",2
"('task', 'force')",2
"('nj', 'department')",2
"('and', 'workforce')",2
"('commission', 'the')",2
"('state', 'police')",2
"('education', 'assistance')",2
"('arts', 'note')",2
"('nursing', 'note')",2
"('kansas', 'department')",2
"('the', 'secretary')",2
"('convention', 'center')",2
"('administrators', 'note')",2
"('massage', 'therapy')",2
"('of', 'chiropractic')",2
"('chiropractic', 'examiners')",2
"('of', 'information')",2
"('for', 'louisiana')",2
"('developmental', 'disabilities')",2
"('court', 'note')",2
"('examiners', 'in')",2
"('and', 'nutrition')",2
"('speech', 'language')",2
"('per', 'the')",2
"('their', 'website')",2
"('dedicated', 'to')",2
"('local', 'government')",2
"('community', 'development')",2
"('louisiana', 'seafood')",2
"('licensed', 'professional')",2
"('professional', 'counselors')",2
"('state', 'housing')",2
"('of', 'maryland')",2
"('a', 'nonregulatory')",2
"('foundation', 'note')",2
"('housing', 'and')",2
"('a', 'program')",2
"('program', 'within')",2
"('within', 'the')",2
"('the', 'commissioner')",2
"('alaska', 'mental')",2
"('mental', 'health')",2
"('health', 'trust')",2
"('michigan', 'note')",2
"('humanities', 'council')",2
"('michigan', 'lottery')",2
"('www', 'to')",2
"('to', 'resolve')",2
"('resolve', 'note')",2
"('life', 'of')",2
"('missouri', 'note')",2
"('minnesota', 'association')",2
"('of', 'watershed')",2
"('watershed', 'districts')",2
"('official', 'website')",2
"('website', 'for')",2
"('official', 'state')",2
"('state', 'fund')",2
"('of', 'workers')",2
"('compensation', 'insurance')",2
"('campaign', 'note')",2
"('industries', 'for')",2
"('of', 'mississippi')",2
"('state', 'commission')",2
"('mt', 'department')",2
"('florida', 'note')",2
"('archives', 'and')",2
"('disabilities', 'note')",2
"('carolina', 'education')",2
"('education', 'lottery')",2
"('division', 'north')",2
"('nc', 'court')",2
"('carolina', 'arts')",2
"('rehabilitation', 'services')",2
"('education', 'and')",2
"('and', 'is')",2
"('is', 'administered')",2
"('administered', 'by')",2
"('of', 'vocational')",2
"('vocational', 'rehabilitation')",2
"('state', 'auditor')",2
"('auditor', 'note')",2
"('the', 'board')",2
"('waste', 'management')",2
"('nc', 'school')",2
"('carolina', 'social')",2
"('work', 'certification')",2
"('certification', 'and')",2
"('and', 'licensure')",2
"('the', 'states')",2
"('juvenile', 'justice')",2
"('justice', 'note')",2
"('of', 'marine')",2
"('the', 'public')",2
"('management', 'division')",2
"('is', 'designed')",2
"('forest', 'action')",2
"('action', 'plan')",2
"('instruction', 'note')",2
"('ncknows', 'is')",2
"('help', 'from')",2
"('librarians', 'and')",2
"('libraries', 'note')",2
"('labor', 'note')",2
"('assembly', 'note')",2
"('lifetime', 'income')",2
"('teachers', 'and')",2
"('and', 'local')",2
"('nc', 'public')",2
"('and', 'health')",2
"('carolina', 'natural')",2
"('and', 'cultural')",2
"('resources', 'of')",2
"('nc', 'onemap')",2
"('service', 'providing')",2
"('providing', 'comprehensive')",2
"('comprehensive', 'discovery')",2
"('discovery', 'and')",2
"('and', 'access')",2
"('to', 'north')",2
"('carolinas', 'geospatial')",2
"('geospatial', 'data')",2
"('data', 'resources')",2
"('branch', 'nc')",2
"('of', 'archives')",2
"('and', 'history')",2
"('public', 'schools')",2
"('schools', 'note')",2
"('science', 'and')",2
"('nc', 'sip')",2
"('a', 'strong')",2
"('is', 'now')",2
"('here', 'for')",2
"('of', 'water')",2
"('contractors', 'certification')",2
"('and', 'safety')",2
"('continuing', 'education')",2
"('nc', 'wiseowl')",2
"('resources', 'for')",2
"('mission', 'is')",2
"('to', 'a')",2
"('for', 'use')",2
"('information', 'network')",2
"('dakota', 'note')",2
"('the', 'arts')",2
"('nh', 'state')",2
"('jersey', 'state')",2
"('health', 'nc')",2
"('disability', 'services')",2
"('nevada', 'note')",2
"('state', 'council')",2
"('oklahoma', 'department')",2
"('arts', 'commission')",2
"('republic', 'of')",2
"('pa', 'state')",2
"('pa', 'higher')",2
"('facilities', 'authority')",2
"('pat', 'harrison')",2
"('harrison', 'waterway')",2
"('waterway', 'district')",2
"('district', 'phwd')",2
"('phwd', 'a')",2
"('agency', 'that')",2
"('provides', 'camping')",2
"('camping', 'cabins')",2
"('cabins', 'and')",2
"('and', 'recreational')",2
"('recreational', 'facilities')",2
"('facilities', 'in')",2
"('in', 'mississippi')",2
"('potato', 'commission')",2
"('virginia', 'commonwealth')",2
"('works', 'to')",2
"('in', 'virginia')",2
"('the', 'south')",2
"('florida', 'state')",2
"('is', 'governed')",2
"('governed', 'by')",2
"('comprised', 'of')",2
"('division', 'note')",2
"('for', 'virginia')",2
"('carolina', 'independent')",2
"('council', 'scilc')",2
"('scilc', 'note')",2
"('deaf', 'and')",2
"('statewide', 'independent')",2
"('michigan', 'historical')",2
"('historical', 'center')",2
"('archives', 'of')",2
"('va', 'note')",2
"('susquehanna', 'river')",2
"('find', 'state')",2
"('iowa', 'note')",2
"('maine', 'note')",2
"('state', 'government')",2
"('of', 'vermont')",2
"('of', 'wyoming')",2
"('state', 'bar')",2
"('texas', 'note')",2
"('tennessee', 'note')",2
"('wisconsin', 'note')",2
"('throughout', 'the')",2
"('for', 'aging')",2
"('and', 'rehabilitative')",2
"('rehabilitative', 'services')",2
"('virginia', 'lottery')",2
"('blind', 'and')",2
"('and', 'vision')",2
"('vision', 'impaired')",2
"('impaired', 'note')",2
"('registration', 'note')",2
"('virginia', 'housing')",2
"('horse', 'industry')",2
"('virginia', 'economic')",2
"('on', 'volunteerism')",2
"('volunteerism', 'and')",2
"('community', 'service')",2
"('at', 'httpwebarchiveorgwebhttpwwwarkansascom')",1
"('httpwebarchiveorgwebhttpwwwarkansascom', 'note')",1
"('th', 'judicial')",1
"('judicial', 'district')",1
"('district', 'attorney')",1
"('attorney', 'note')",1
"('ny', 'new')",1
"('transportation', 'the')",1
"('the', 'free')",1
"('free', 'official')",1
"('official', 'onestop')",1
"('onestop', 'allencompassing')",1
"('allencompassing', 'telephone')",1
"('telephone', 'and')",1
"('and', 'web')",1
"('web', 'service')",1
"('service', 'offering')",1
"('offering', 'information')",1
"('on', 'transportation')",1
"('transportation', 'services')",1
"('and', 'conditions')",1
"('conditions', 'throughout')",1
"('throughout', 'new')",1
"('idaho', 'mirror')",1
"('mirror', 'website')",1
"('of', 'wwwidahogov')",1
"('wwwidahogov', 'note')",1
"('alabama', 'cooperative')",1
"('extension', 'system')",1
"('pennsylvania', 'adoption')",1
"('adoption', 'exchange')",1
"('of', 'massachusetts')",1
"('massachusetts', 'center')",1
"('for', 'agriculture')",1
"('agriculture', 'research')",1
"('and', 'extension')",1
"('texas', 'am')",1
"('am', 'agrilife')",1
"('agrilife', 'extension')",1
"('alabama', 'housing')",1
"('alaska', 'housing')",1
"('finance', 'corporation')",1
"('alaska', 'industrial')",1
"('industrial', 'development')",1
"('and', 'export')",1
"('export', 'authority')",1
"('alaskas', 'department')",1
"('of', 'military')",1
"('military', 'and')",1
"('and', 'veterans')",1
"('veterans', 'affairs')",1
"('affairs', 'division')",1
"('alaska', 'aerospace')",1
"('aerospace', 'corporation')",1
"('corporation', 'board')",1
"('directors', 'appointed')",1
"('by', 'alaska')",1
"('alaska', 'governor')",1
"('alaska', 'energy')",1
"('energy', 'authority')",1
"('alaska', 'public')",1
"('public', 'broadcasting')",1
"('broadcasting', 'commission')",1
"('for', 'alabama')",1
"('alabama', 'national')",1
"('counterdrug', 'program')",1
"('alabama', 'film')",1
"('alabamas', 'legal')",1
"('legal', 'information')",1
"('center', 'alabama')",1
"('alabama', 'supreme')",1
"('court', 'and')",1
"('state', 'law')",1
"('law', 'library')",1
"('library', 'catalog')",1
"('catalog', 'catalogalalincnet')",1
"('catalogalalincnet', 'and')",1
"('and', 'alalincnet')",1
"('alalincnet', 'note')",1
"('alaska', 'seafood')",1
"('seafood', 'marketing')",1
"('marketing', 'institute')",1
"('medical', 'examiners')",1
"('examiners', 'an')",1
"('an', 'administrative')",1
"('administrative', 'and')",1
"('and', 'regulatory')",1
"('regulatory', 'agency')",1
"('alabama', 'and')",1
"('the', 'medical')",1
"('medical', 'licensure')",1
"('licensure', 'commission')",1
"('commission', 'of')",1
"('alabama', 'board')",1
"('for', 'american')",1
"('amtrak', 'cascades')",1
"('cascades', 'a')",1
"('a', 'train')",1
"('train', 'service')",1
"('service', 'sponsored')",1
"('sponsored', 'by')",1
"('state', 'departments')",1
"('departments', 'of')",1
"('transportation', 'of')",1
"('washington', 'and')",1
"('and', 'oregon')",1
"('oregon', 'note')",1
"('disabilities', 'apd')",1
"('apd', 'note')",1
"('alaska', 'permanent')",1
"('permanent', 'fund')",1
"('fund', 'corporation')",1
"('arkansas', 'public')",1
"('service', 'commission')",1
"('arbenefitsfor', 'arkansas')",1
"('and', 'public')",1
"('school', 'plan')",1
"('plan', 'membersprovided')",1
"('membersprovided', 'by')",1
"('the', 'employee')",1
"('employee', 'benefit')",1
"('benefit', 'division')",1
"('of', 'finance')",1
"('finance', 'administration')",1
"('arkansas', 'fire')",1
"('fire', 'protection')",1
"('protection', 'licensing')",1
"('arkansas', 'national')",1
"('for', 'arizona')",1
"('arizona', 'lottery')",1
"('arizonas', 'workforce')",1
"('workforce', 'connection')",1
"('connection', 'a')",1
"('governors', 'council')",1
"('on', 'workforce')",1
"('workforce', 'policy')",1
"('policy', 'developed')",1
"('developed', 'to')",1
"('to', 'provide')",1
"('provide', 'easy')",1
"('easy', 'access')",1
"('the', 'workforce')",1
"('development', 'system')",1
"('in', 'arizona')",1
"('arkansas', 'history')",1
"('history', 'commission')",1
"('commission', 'a')",1
"('a', 'division')",1
"('of', 'parks')",1
"('for', 'arkansas')",1
"('arkansas', 'note')",1
"('arkansas', 'childrens')",1
"('childrens', 'trust')",1
"('arkansas', 'economic')",1
"('development', 'coorporation')",1
"('coorporation', 'aedc')",1
"('aedc', 'note')",1
"('arkansas', 'ethics')",1
"('ethics', 'commission')",1
"('arkids', 'first')",1
"('first', 'health')",1
"('insurance', 'arkansas')",1
"('arkansas', 'livestock')",1
"('livestock', 'and')",1
"('and', 'poultry')",1
"('poultry', 'commission')",1
"('state', 'medical')",1
"('of', 'optometry')",1
"('of', 'collection')",1
"('collection', 'agencies')",1
"('authority', 'mobile')",1
"('mobile', 'al')",1
"('al', 'note')",1
"('samoa', 'territorial')",1
"('territorial', 'energy')",1
"('energy', 'office')",1
"('service', 'commissionäôs')",1
"('commissionäôs', 'consumer')",1
"('consumer', 'web')",1
"('state', 'assembly')",1
"('assembly', 'democratic')",1
"('democratic', 'caucus')",1
"('caucus', 'state')",1
"('of', 'california')",1
"('technology', 'loan')",1
"('loan', 'fund')",1
"('fund', 'authority')",1
"('authority', 'offers')",1
"('offers', 'low')",1
"('low', 'interest')",1
"('interest', 'loans')",1
"('loans', 'for')",1
"('for', 'a')",1
"('of', 'special')",1
"('special', 'equipment')",1
"('equipment', 'to')",1
"('to', 'eligible')",1
"('eligible', 'applicants')",1
"('applicants', 'see')",1
"('see', 'the')",1
"('the', 'establishing')",1
"('establishing', 'law')",1
"('law', 'at')",1
"('at', 'httplawlisvirginiagovauthoritiesassistivetechnologyloanfundauthorityatlfa')",1
"('httplawlisvirginiagovauthoritiesassistivetechnologyloanfundauthorityatlfa', 'note')",1
"('arizona', 'board')",1
"('of', 'behavioral')",1
"('behavioral', 'health')",1
"('health', 'examiners')",1
"('arizona', 'commerce')",1
"('commerce', 'authority')",1
"('uss', 'north')",1
"('carolina', 'battleship')",1
"('battleship', 'north')",1
"('of', 'baxter')",1
"('baxter', 'estates')",1
"('estates', 'port')",1
"('port', 'washington')",1
"('washington', 'ny')",1
"('massage', 'bodywork')",1
"('bodywork', 'therapy')",1
"('of', 'connecticut')",1
"('connecticut', 'bonds')",1
"('bonds', 'note')",1
"('california', 'humanities')",1
"('humanities', 'is')",1
"('an', 'independent')",1
"('independent', 'nonprofit')",1
"('nonprofit', 'partner')",1
"('partner', 'of')",1
"('humanities', 'nthat')",1
"('nthat', 'promotes')",1
"('promotes', 'the')",1
"('humanities', 'in')",1
"('in', 'california')",1
"('california', 'in')",1
"('help', 'create')",1
"('create', 'ldquoa')",1
"('ldquoa', 'state')",1
"('of', 'open')",1
"('open', 'mind')",1
"('mind', 'note')",1
"('californiavolunteers', 'the')",1
"('state', 'office')",1
"('office', 'that')",1
"('that', 'manages')",1
"('manages', 'programs')",1
"('programs', 'and')",1
"('and', 'initiatives')",1
"('initiatives', 'aimed')",1
"('aimed', 'at')",1
"('at', 'increasing')",1
"('increasing', 'the')",1
"('of', 'californians')",1
"('californians', 'engaged')",1
"('engaged', 'in')",1
"('in', 'service')",1
"('service', 'and')",1
"('and', 'volunteering')",1
"('volunteering', 'note')",1
"('ca', 'state')",1
"('state', 'independent')",1
"('living', 'counsel')",1
"('counsel', 'advocates')",1
"('advocates', 'for')",1
"('disabilities', 'to')",1
"('to', 'enable')",1
"('enable', 'them')",1
"('them', 'to')",1
"('to', 'live')",1
"('live', 'independently')",1
"('independently', 'n')",1
"('state', 'teachers')",1
"('teachers', 'retirement')",1
"('state', 'capitol')",1
"('capitol', 'note')",1
"('caswell', 'developmental')",1
"('developmental', 'center')",1
"('center', 'nc')",1
"('california', 'environmental')",1
"('tracking', 'program')",1
"('program', 'california')",1
"('california', 'department')",1
"('of', 'kentucky')",1
"('kentucky', 'extension')",1
"('extension', 'website')",1
"('hawaiipacific', 'area')",1
"('area', 'combined')",1
"('campaign', 'geographic')",1
"('geographic', 'area')",1
"('area', 'includes')",1
"('includes', 'the')",1
"('of', 'hawaii')",1
"('hawaii', 'guam')",1
"('guam', 'northern')",1
"('northern', 'marianas')",1
"('marianas', 'islands')",1
"('islands', 'and')",1
"('and', 'american')",1
"('tristate', 'cfc')",1
"('cfc', 'indiana')",1
"('college', 'foundation')",1
"('foundation', 'of')",1
"('carolina', 'aservice')",1
"('aservice', 'of')",1
"('the', 'stateof')",1
"('stateof', 'north')",1
"('bay', 'program')",1
"('program', 'restoration')",1
"('restoration', 'of')",1
"('the', 'chesapeake')",1
"('bay', 'httpwwwchesapeakebaynet')",1
"('httpwwwchesapeakebaynet', 'note')",1
"('pennsylvanias', 'childrens')",1
"('insurance', 'program')",1
"('program', 'chip')",1
"('chip', 'note')",1
"('of', 'business')",1
"('business', 'and')",1
